Stacje,Miejscowość (lokalizacja),Zakres średniej dziennej mocy dawki [nSv/h],Średnia [nSv/h],Daty
PMS,Szczecin,50-56,52,23.08.22-06.09.22
PMS,Tarnów,80-84,82,23.08.22-06.09.22
PMS,Toruń,47-70,51,23.08.22-06.09.22
PMS,Warszawa,88-92,90,23.08.22-06.09.22
PMS,Włodawa,57-61,58,23.08.22-06.09.22
PMS,Wólka Dobryńska,64-67,66,23.08.22-06.09.22
PMS,Wrocław,74-80,76,23.08.22-06.09.22
PMS,Zielona Góra,86-95,88,23.08.22-06.09.22
IMiGW,Gdynia,80-83,81,23.08.22-06.09.22
IMiGW,Gorzów,83-90,85,23.08.22-06.09.22
IMiGW,Legnica,85-92,88,23.08.22-06.09.22
IMiGW,Lesko,103-107,105,23.08.22-06.09.22
IMiGW,Mikołajki,86-92,89,23.08.22-06.09.22
IMiGW,Świnoujście,67-70,68,23.08.22-06.09.22
IMiGW,Warszawa,67-71,68,23.08.22-06.09.22
IMiGW,Włodawa,64-68,65,23.08.22-06.09.22
IMiGW,Zakopane,101-108,104,23.08.22-06.09.22
PMS,Babiki,79-103,82,26.07.22-09.08.22
PMS,Bartniki,98-118,101,26.07.22-09.08.22
PMS,Białystok,68-76,70,26.07.22-09.08.22
PMS,Bielsko-Biała,87-111,93,26.07.22-09.08.22
PMS,Chełm,55-66,58,26.07.22-09.08.22
PMS,Czerniczyn,84-98,88,26.07.22-09.08.22
PMS,Częstochowa,38-105,85,26.07.22-09.08.22
PMS,Gdynia,102-106,103,26.07.22-09.08.22
PMS,Gołdap,62-73,64,26.07.22-09.08.22
PMS,Kalisz,62-80,66,26.07.22-09.08.22
PMS,Katowice,85-102,89,26.07.22-09.08.22
PMS,Kielce,86-96,89,26.07.22-09.08.22
PMS,Koszalin,81-89,84,26.07.22-09.08.22
PMS,Kraków,115-122,117,26.07.22-09.08.22
PMS,Krasiczyn,81-90,85,26.07.22-09.08.22
PMS,Krzywe,89-103,93,26.07.22-09.08.22
PMS,Legnica,74-94,79,26.07.22-09.08.22
PMS,Łódź,86-101,90,26.07.22-09.08.22
PMS,Lublin,100-107,102,26.07.22-09.08.22
PMS,Machnów Nowy,62-68,64,26.07.22-09.08.22
PMS,Olsztyn,55-64,57,26.07.22-09.08.22
PMS,Opole,66-76,69,26.07.22-09.08.22
PMS,Radom,57-67,59,26.07.22-09.08.22
PMS,Rzeszów,89-101,92,26.07.22-09.08.22
PMS,Sanok,92-102,95,26.07.22-09.08.22
PMS,Seimianówka,50-65,52,26.07.22-09.08.22
PMS,Siemiatycze,59-82,62,26.07.22-09.08.22
PMS,Stare Sioło,67-74,70,26.07.22-09.08.22
PMS,Suwałki,81-96,84,26.07.22-09.08.22
PMS,Szczecin,52-57,54,26.07.22-09.08.22
PMS,Tarnów,78-94,81,26.07.22-09.08.22
PMS,Toruń,49-57,51,26.07.22-09.08.22
PMS,Warszawa,86-93,89,26.07.22-09.08.22
PMS,Włodawa,56-70,59,26.07.22-09.08.22
PMS,Wólka Dobryńska,63-75,65,26.07.22-09.08.22
PMS,Wrocław,76-97,81,26.07.22-09.08.22
PMS,Zielona Góra,87-91,89,26.07.22-09.08.22
IMiGW,Gdynia,79-83,81,26.07.22-09.08.22
IMiGW,Gorzów,83-87,85,26.07.22-09.08.22
IMiGW,Legnica,89-109,95,26.07.22-09.08.22
IMiGW,Lesko,99-109,102,26.07.22-09.08.22
IMiGW,Mikołajki,83-90,86,26.07.22-09.08.22
IMiGW,Świnoujście,66-69,68,26.07.22-09.08.22
IMiGW,Warszawa,58-81,66,26.07.22-09.08.22
IMiGW,Włodawa,63-76,66,26.07.22-09.08.22
IMiGW,Zakopane,102-111,106,26.07.22-09.08.22
PMS,Babiki,79-89,82,28.06.22-12.07.22
PMS,Bartniki,98-112,106,28.06.22-12.07.22
PMS,Białystok,69-78,72,28.06.22-12.07.22
PMS,Bielsko-Biała,88-107,94,28.06.22-12.07.22
PMS,Chełm,57-66,59,28.06.22-12.07.22
PMS,Czerniczyn,85-95,91,28.06.22-12.07.22
PMS,Gdynia,102-108,104,28.06.22-12.07.22
PMS,Gołdap,64-68,66,28.06.22-12.07.22
PMS,Kalisz,64-70,66,28.06.22-12.07.22
PMS,Katowice,86-101,90,28.06.22-12.07.22
PMS,Kielce,85-97,89,28.06.22-12.07.22
PMS,Koszalin,80-93,83,28.06.22-12.07.22
PMS,Kraków,115-125,118,28.06.22-12.07.22
PMS,Krasiczyn,81-87,85,28.06.22-12.07.22
PMS,Krzywe,92-96,94,28.06.22-12.07.22
PMS,Legnica,73-89,77,28.06.22-12.07.22
PMS,Łódź,87-92,90,28.06.22-12.07.22
PMS,Lublin,99-105,102,28.06.22-12.07.22
PMS,Machnów Nowy,63-68,65,28.06.22-12.07.22
PMS,Olsztyn,54-60,56,28.06.22-12.07.22
PMS,Opole,59-64,61,28.06.22-12.07.22
PMS,Radom,54-61,57,28.06.22-12.07.22
PMS,Rzeszów,87-99,92,28.06.22-12.07.22
PMS,Sanok,92-98,95,28.06.22-12.07.22
PMS,Seimianówka,51-63,54,28.06.22-12.07.22
PMS,Siemiatycze,60-68,63,28.06.22-12.07.22
PMS,Stare Sioło,67-75,70,28.06.22-12.07.22
PMS,Suwałki,82-90,85,28.06.22-12.07.22
PMS,Szczecin,51-64,53,28.06.22-12.07.22
PMS,Tarnów,77-89,81,28.06.22-12.07.22
PMS,Toruń,48-54,50,28.06.22-12.07.22
PMS,Warszawa,81-94,92,28.06.22-12.07.22
PMS,Włodawa,57-66,59,28.06.22-12.07.22
PMS,Wólka Dobryńska,63-71,66,28.06.22-12.07.22
PMS,Wrocław,77-83,80,28.06.22-12.07.22
PMS,Zielona Góra,87-93,89,28.06.22-12.07.22
IMiGW,Gdynia,83-87,84,28.06.22-12.07.22
IMiGW,Gorzów,75-81,77,28.06.22-12.07.22
IMiGW,Legnica,84-94,87,28.06.22-12.07.22
IMiGW,Lesko,96-105,100,28.06.22-12.07.22
IMiGW,Mikołajki,83-88,86,28.06.22-12.07.22
IMiGW,Świnoujście,63-69,64,28.06.22-12.07.22
IMiGW,Warszawa,62-73,66,28.06.22-12.07.22
IMiGW,Włodawa,59-67,61,28.06.22-12.07.22
IMiGW,Zakopane,109-129,116,28.06.22-12.07.22
